tag,forced_offset_bin,nmse,delta_vs_stock,pct_vs_stock
stock,,0.1385,0.0,0.0
off000,0.0,0.1923,0.0538,38.8
off015,0.15,0.1994,0.0609,44.0
off025,0.25,0.2257,0.0872,63.0
off050,0.5,0.3626,0.2241,161.8
