label,params,macs_per_sample,nmse,pct_vs_reported,params_vs_reported
capacity-TINY,57894,4671264,0.1393,0.6,0.33
capacity-XS,77110,4978464,0.1367,-1.3,0.45
capacity-S,96326,5285664,0.1383,-0.1,0.56
reported-173k,173190,6514464,0.1385,0.0,1.0
capacity-M,250054,7743264,0.1408,1.7,1.44
capacity-L,326918,8972064,0.1423,2.7,1.89
