seed,nmse_stock,nmse_snap0,pct,mean_diff,ci_low,ci_high,worse_settings,n,sign_p
42,0.1385,0.1923,38.8,0.0537,0.0503,0.0572,162,162,3.4211388289180104e-49
43,0.1442,0.1783,23.7,0.0341,0.0324,0.0359,162,162,3.4211388289180104e-49
44,0.1378,0.2158,56.5,0.0779,0.0732,0.0825,162,162,3.4211388289180104e-49
