model,slice,n,ours,published,ratio
ours-LONGFULL,<=10 m/s,72,0.05813184868055557,0.08434893388888888,0.6891829688936135
ours-LONGFULL,10-30 m/s,108,0.2971888520601852,0.31082139097222217,0.9561402808558459
ours-LONGFULL,>30 m/s,36,0.5411388134722223,0.4603887290277777,1.1753954416194503
ours-LONGFULL,all,216,0.25816151116898145,0.26025846162037036,0.9919428154676191
ours-LONGFULL,cm B,108,0.4728929901157407,0.4775536995601851,0.9902404495060203
ours-LONGFULL,cm E,108,0.04343003222222223,0.042963223680555544,1.0108653052931396
ours-LONGFULL,ds 50 ns,72,0.31144457065972225,0.2815748772569444,1.1060808183377844
ours-LONGFULL,ds 200 ns,72,0.2407235451736111,0.24037286038194447,1.0014589200757082
ours-LONGFULL,ds 400 ns,72,0.22231641767361113,0.25882764722222223,0.858936130121897
