slice,cells,ours,published,rel_diff,paired_mean_diff,ci_low,ci_high,favour_cells,sign_p,source
all,72,0.2796,0.2872,-0.026,-0.0076,-0.0178,0.0019,27/72,0.0444,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization)"
cmB,36,0.4966,0.5291,-0.061,-0.0325,-0.0479,-0.018,27/36,0.0039,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization)"
cmE,36,0.0627,0.0453,0.384,0.0174,0.0148,0.0201,0/36,0.0,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization)"
le10ms,18,0.0917,0.0832,0.102,0.0085,0.0027,0.014,3/18,0.0075,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization)"
gt30ms,18,0.4553,0.4877,-0.066,-0.0323,-0.0597,-0.0049,9/18,1.0,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization)"
eqweight-relative,72,,,0.162,,,,27/72,,"results/run_csv/MAMBA64CONV_C_gen.csv + results/reference/official_per_setting.csv (MODEL, TDD, generalization); mean of the cmB and cmE rel_diff values"
