model,slice,n,ours,published,ratio
ours-NOAuxi,<=10 m/s,108,0.06012469277777778,0.08316290143518519,0.7229749292073132
ours-NOAuxi,10-30 m/s,216,0.2660500838310185,0.28892841196759256,0.9208166203497489
ours-NOAuxi,>30 m/s,108,0.48180320504629637,0.4876793894907407,0.9879507221935696
ours-NOAuxi,all,432,0.2685070163715278,0.2871747787152778,0.9349951189054163
ours-NOAuxi,cm B,216,0.48302441791666667,0.5290508836111111,0.9130018168001454
ours-NOAuxi,cm E,216,0.053989614826388886,0.045298673819444434,1.1918586191195264
ours-NOAuxi,ds 50 ns,144,0.30950019609375,0.3125606963541666,0.9902083009920457
ours-NOAuxi,ds 200 ns,144,0.2547166133159722,0.266004796875,0.9575639849670368
ours-NOAuxi,ds 400 ns,144,0.24130423970486112,0.2829588429166667,0.8527891802834622
