cm,ds,ms,snr,rate_perfect,rate_ours,rate_published,loss_ours_pct,loss_published_pct,n
A,3e-08,1,0.0,5.030401171875,5.014175244140625,5.020770833333334,0.3225573305185734,0.1914427540194916,120000.0
A,3e-08,1,5.0,6.6605603515625,6.6526216796875,6.656566764322917,0.1191892491918937,0.0599587276263728,120000.0
A,3e-08,1,10.0,8.311641861979167,8.307867513020833,8.309679817708334,0.0454103896800412,0.0236059770550053,120000.0
A,3e-08,1,15.0,9.969466666666667,9.967553092447917,9.968252083333333,0.0191943489329167,0.0121830321916375,120000.0
A,3e-08,1,20.0,11.629436295572916,11.628228125,11.628491796875,0.010388900564145,0.0081216206350155,120000.0
A,3e-08,1,25.0,13.290085872395832,13.289132649739583,13.2892171875,0.0071724341392688,0.0065363377195126,120000.0
A,3e-08,30,0.0,4.757628645833333,4.362305143229166,4.417978824869792,8.309255135967486,7.139057001874284,120000.0
A,3e-08,30,5.0,6.371682145182292,6.0195783203125,6.052061002604167,5.526073285623981,5.016275691338347,120000.0
A,3e-08,30,10.0,8.017270279947917,7.6845619140625,7.702026497395833,4.149895840702263,3.932058812343447,120000.0
A,3e-08,30,15.0,9.673313313802083,9.349810123697916,9.35459677734375,3.3442852475643976,3.2948021646686727,120000.0
A,3e-08,30,20.0,11.332715006510416,11.011648470052084,11.010178092447916,2.833094596254186,2.8460692241639416,120000.0
A,3e-08,30,25.0,12.993184244791667,12.672088541666668,12.669855143229167,2.471262602573432,2.488451602555445,120000.0
A,1e-07,1,0.0,4.94514013671875,4.915686116536459,4.932827262369791,0.5956154804105377,0.2489893917774608,120000.0
A,1e-07,1,5.0,6.570997721354167,6.556167838541667,6.56566064453125,0.2256869267250943,0.0812217116675086,120000.0
A,1e-07,1,10.0,8.220643196614583,8.212418782552083,8.217819694010416,0.1000458706915663,0.0343464925631389,120000.0
A,1e-07,1,15.0,9.878005826822916,9.872670084635416,9.876115234375,0.0540163903630303,0.0191394141799578,120000.0
A,1e-07,1,20.0,11.537828841145831,11.533729134114584,11.536319205729166,0.035532742664975,0.0130842244017665,120000.0
A,1e-07,1,25.0,13.198431575520834,13.19485234375,13.197030924479169,0.0271186144380387,0.0106122536882706,120000.0
A,1e-07,30,0.0,4.759296647135416,4.300728841145833,4.39804697265625,9.635201164978682,7.59040045752559,120000.0
A,1e-07,30,5.0,6.371744921875,5.982364762369792,6.067266731770833,6.111044372922357,4.778568411595618,120000.0
A,1e-07,30,10.0,8.016623600260417,7.665125390625,7.739499479166667,4.384616606223082,3.4568683140461727,120000.0
A,1e-07,30,15.0,9.672412662760417,9.338024772135416,9.40171123046875,3.4571301110055166,2.798696061985538,120000.0
A,1e-07,30,20.0,11.331730859375,11.008498046875,11.065009114583331,2.8524575504948806,2.3537599692548468,120000.0
A,1e-07,30,25.0,12.992173307291669,12.6719787109375,12.724086067708331,2.4645191284083494,2.063451843217593,120000.0
A,3e-07,1,0.0,4.933924934895833,4.9036296875,4.917914127604167,0.6140192199027231,0.3245044767184741,120000.0
A,3e-07,1,5.0,6.558561067708333,6.542739583333334,6.551333154296875,0.2412340788118606,0.1102057804576247,120000.0
A,3e-07,1,10.0,8.20777783203125,8.198258203125,8.203715234375,0.1159830236766168,0.0494969252261517,120000.0
A,3e-07,1,15.0,9.864999869791667,9.85822822265625,9.862061197916669,0.0686431548382857,0.0297888688675924,120000.0
A,3e-07,1,20.0,11.524778125,11.519227994791668,11.5223455078125,0.0481582391273368,0.0211077138415624,120000.0
A,3e-07,1,25.0,13.185366959635417,13.180382356770831,13.183121321614584,0.037804051110924,0.0170312895174438,120000.0
A,3e-07,30,0.0,4.70180341796875,4.333730550130208,4.403636051432292,7.828333835308561,6.341553230340523,120000.0
A,3e-07,30,5.0,6.309497412109375,6.009191048177083,6.062652848307292,4.759592473339245,3.9122698319573295,120000.0
A,3e-07,30,10.0,7.952716341145833,7.689862076822917,7.722050618489583,3.305213628241192,2.90046460556916,120000.0
A,3e-07,30,15.0,9.607964973958332,9.363760774739584,9.386241080729167,2.5416849445293246,2.3077092165732496,120000.0
A,3e-07,30,20.0,11.267110221354166,11.032973697916669,11.048871875,2.078053013040985,1.9369504874510464,120000.0
A,3e-07,30,25.0,12.927498372395831,12.696955045572915,12.710320442708332,1.783356069223701,1.6799687258227871,120000.0
C,3e-08,1,0.0,5.037749674479167,5.016890673828125,5.026879036458333,0.4140539327849424,0.2157836082229926,120000.0
C,3e-08,1,5.0,6.668219791666667,6.657933870442708,6.663276302083333,0.1542528822582213,0.0741350725948133,120000.0
C,3e-08,1,10.0,8.319403776041666,8.31394052734375,8.316676497395834,0.0656687527734787,0.0327821406347164,120000.0
C,3e-08,1,15.0,9.977260807291668,9.973913932291667,9.975351953125,0.0335450286871732,0.0191320463956726,120000.0
C,3e-08,1,20.0,11.6372416015625,11.634704166666667,11.6356423828125,0.0218044359884447,0.0137422492782593,120000.0
C,3e-08,1,25.0,13.297894140625,13.29565703125,13.296370345052082,0.016823034920742,0.0114589239228727,120000.0
C,3e-08,30,0.0,4.908590592447917,3.885498746744792,3.927126725260417,20.842884050611133,19.99482027891113,120000.0
C,3e-08,30,5.0,6.532682161458333,5.490877620442708,5.6160826171875,15.947577354399504,14.030983317673224,120000.0
C,3e-08,30,10.0,8.181739973958333,7.132836783854167,7.256033528645833,12.820050422559518,11.314298037568188,120000.0
C,3e-08,30,15.0,9.8389134765625,8.791228841145834,8.901112662760417,10.648377363134443,9.53154853974516,120000.0
C,3e-08,30,20.0,11.498676204427085,10.450257747395831,10.55139990234375,9.117731801401629,8.238133548961263,120000.0
C,3e-08,30,25.0,13.159260123697916,12.111042578125,12.212034928385416,7.965626758036572,7.198164535152587,120000.0
C,1e-07,1,0.0,5.019055859375,4.98358076171875,5.0033559895833335,0.7068081856468453,0.3128052412953589,120000.0
C,1e-07,1,5.0,6.64866865234375,6.628692236328125,6.641676595052084,0.3004573856840242,0.1051647729384446,120000.0
C,1e-07,1,10.0,8.299568684895833,8.2863880859375,8.295557389322918,0.1588106497910043,0.0483313738967632,120000.0
C,1e-07,1,15.0,9.957334798177085,9.947105598958334,9.954407682291668,0.1027302930561455,0.0293965799558369,120000.0
C,1e-07,1,20.0,11.6172859375,11.608131901041666,11.614761100260417,0.0787966871744546,0.0217334517990436,120000.0
C,1e-07,1,25.0,13.277929654947917,13.269130533854169,13.275520638020833,0.0662687732380853,0.0181430161906765,120000.0
C,1e-07,30,0.0,4.932628938802083,4.06487333984375,4.319460270182292,17.592152374005103,12.430869546994607,120000.0
C,1e-07,30,5.0,6.557829768880208,5.7347079915364585,6.00104443359375,12.551740535410438,8.490390188666536,120000.0
C,1e-07,30,10.0,8.207255794270834,7.4050150390625,7.664373274739583,9.774774605762229,6.614665524501085,120000.0
C,1e-07,30,15.0,9.86454755859375,9.076582389322915,9.325501920572917,7.987849058362315,5.464474014839443,120000.0
C,1e-07,30,20.0,11.524347395833331,10.74139853515625,10.986489388020834,6.79386722548958,4.667145039440268,120000.0
C,1e-07,30,25.0,13.184943880208332,12.404082552083333,12.647682356770831,5.922371268467336,4.074810847272346,120000.0
C,3e-07,1,0.0,5.012392545572917,4.976604052734375,4.990029361979167,0.7140002007654223,0.4461578655387259,120000.0
C,3e-07,1,5.0,6.641710953776042,6.623024462890625,6.631041048177083,0.2813505588464762,0.1606499541039545,120000.0
C,3e-07,1,10.0,8.292513671875,8.281446484375,8.2861857421875,0.1334599849685596,0.0763089448855667,120000.0
C,3e-07,1,15.0,9.9502486328125,9.9429638671875,9.945411686197916,0.0732118954392504,0.0486113140794556,120000.0
C,3e-07,1,20.0,11.610190234375,11.604722819010416,11.605957747395834,0.0470915226556353,0.0364549322080439,120000.0
C,3e-07,1,25.0,13.270830729166669,13.266105598958331,13.26680576171875,0.0356053837530203,0.0303294309908618,120000.0
C,3e-07,30,0.0,4.923959505208333,4.099938834635417,4.458827571614584,16.73491972672208,9.446298920650234,120000.0
C,3e-07,30,5.0,6.548779475911458,5.82642548828125,6.143940234375,11.030360547141065,6.181903712372494,120000.0
C,3e-07,30,10.0,8.198077213541668,7.524391927083333,7.810882486979167,8.2176011387833,4.722994386085174,120000.0
C,3e-07,30,15.0,9.855327994791669,9.205501236979169,9.473741145833332,6.593659370402687,3.871883809042114,120000.0
C,3e-07,30,20.0,11.515114908854168,10.872101009114584,11.135333268229166,5.584085828315613,3.2981142058163995,120000.0
C,3e-07,30,25.0,13.175706966145832,12.535199348958333,12.796094205729167,4.861277036847021,2.881156672594935,120000.0
D,3e-08,1,0.0,5.026294010416667,5.010010579427084,5.014160319010417,0.3239649522259707,0.2414043305286896,120000.0
D,3e-08,1,5.0,6.656254296875,6.648290983072917,6.650758805338541,0.1196365620499474,0.0825613218989919,120000.0
D,3e-08,1,10.0,8.3072701171875,8.30345126953125,8.303998990885416,0.0459699468342659,0.0393766695429271,120000.0
D,3e-08,1,15.0,9.965073470052085,9.963081705729168,9.962485546875,0.0199874524648733,0.0259699357446866,120000.0
D,3e-08,1,20.0,11.6250365234375,11.623781998697917,11.622596875,0.01079157675809,0.0209861571839483,120000.0
D,3e-08,1,25.0,13.285683658854166,13.284708821614585,13.283180729166666,0.0073375015137743,0.0188392991416142,120000.0
D,3e-08,30,0.0,4.998242171223958,4.886942333984375,4.938564371744792,2.226779604244914,1.1939757505697732,120000.0
D,3e-08,30,5.0,6.6267380533854165,6.548133544921875,6.58583876953125,1.1861719571574882,0.6171857635639016,120000.0
D,3e-08,30,10.0,8.27726396484375,8.210322395833334,8.242748209635417,0.8087402950387755,0.4169947382967594,120000.0
D,3e-08,30,15.0,9.934910286458331,9.8717892578125,9.9024884765625,0.6353457336385757,0.3263422513238544,120000.0
D,3e-08,30,20.0,11.594823014322916,11.532800162760417,11.562930533854166,0.5349184846192434,0.2750579325734755,120000.0
D,3e-08,30,25.0,13.25545419921875,13.19406474609375,13.223565983072916,0.4631259872529976,0.240566755892178,120000.0
D,1e-07,1,0.0,5.022149251302083,5.0031751953125,5.006010172526041,0.3778074891872922,0.3213580076668818,120000.0
D,1e-07,1,5.0,6.651923795572917,6.642521158854167,6.644191129557291,0.1413521412408253,0.1162470625531213,120000.0
D,1e-07,1,10.0,8.302877604166667,8.29822822265625,8.297869401041666,0.0559972305033558,0.060318884172014,120000.0
D,1e-07,1,15.0,9.960661393229168,9.958053059895834,9.956535221354166,0.0261863467731762,0.041424677660517,120000.0
D,1e-07,1,20.0,11.62061796875,11.618846321614583,11.616673502604169,0.0152457222170222,0.033943686613234,120000.0
