label,params,nmse_stock,nmse_snap0,pct,mean_diff,ci_low,ci_high,worse_settings,n,sign_p
reported-173k,173190,0.1385,0.1923,38.8,0.0537,0.0503,0.0572,162,162,3.4211388289180104e-49
capacity-XS-77k,77110,0.1367,0.2193,60.4,0.0826,0.075,0.0903,162,162,3.4211388289180104e-49
capacity-TINY-58k,57894,0.1393,0.1909,37.0,0.0516,0.0465,0.0568,162,162,3.4211388289180104e-49
