model,cm,ds,ms,snr,rate_perfect,rate_model,loss_pct,n
DD_KOOP8,A,3e-08,1,0.0,5.030401171875,5.012400813802083,0.35783146230079993,120000.0
DD_KOOP8,A,3e-08,1,5.0,6.6605603515625,6.652170345052084,0.1259654753889939,120000.0
DD_KOOP8,A,3e-08,1,10.0,8.311641861979167,8.307656966145833,0.047943545926374176,120000.0
DD_KOOP8,A,3e-08,1,15.0,9.969466666666667,9.967219205729167,0.0225434420179643,120000.0
DD_KOOP8,A,3e-08,1,20.0,11.629436295572917,11.627967578125,0.012629309027439365,120000.0
DD_KOOP8,A,3e-08,1,25.0,13.290085872395833,13.289027083333334,0.007966758624927328,120000.0
DD_KOOP8,A,3e-08,30,0.0,4.757628645833333,4.368956282552083,8.16945567245237,120000.0
DD_KOOP8,A,3e-08,30,5.0,6.371682145182292,6.028007975260417,5.393774549499949,120000.0
DD_KOOP8,A,3e-08,30,10.0,8.017270279947917,7.696501302083333,4.00097497856425,120000.0
DD_KOOP8,A,3e-08,30,15.0,9.673313313802083,9.357137239583333,3.268539578549825,120000.0
DD_KOOP8,A,3e-08,30,20.0,11.332715006510417,11.019268815104166,2.7658525889531598,120000.0
DD_KOOP8,A,3e-08,30,25.0,12.993184244791667,12.6820990234375,2.394218503280796,120000.0
DD_KOOP8,A,1e-07,1,0.0,4.94514013671875,4.915550406901041,0.5983597835377563,120000.0
DD_KOOP8,A,1e-07,1,5.0,6.570997721354167,6.555739518229166,0.23220527189372003,120000.0
DD_KOOP8,A,1e-07,1,10.0,8.220643196614583,8.211791438802083,0.1076771926574555,120000.0
DD_KOOP8,A,1e-07,1,15.0,9.878005826822916,9.8721583984375,0.05919644600266468,120000.0
DD_KOOP8,A,1e-07,1,20.0,11.537828841145833,11.53325556640625,0.03963722120121712,120000.0
DD_KOOP8,A,1e-07,1,25.0,13.198431575520834,13.194486002604167,0.029894255950720133,120000.0
DD_KOOP8,A,1e-07,30,0.0,4.759296647135416,4.306938509114583,9.504726676222296,120000.0
DD_KOOP8,A,1e-07,30,5.0,6.371744921875,5.994324934895833,5.923337980518278,120000.0
DD_KOOP8,A,1e-07,30,10.0,8.016623600260417,7.6756712890625,4.253066230861098,120000.0
DD_KOOP8,A,1e-07,30,15.0,9.672412662760417,9.350976627604167,3.3232249942540695,120000.0
DD_KOOP8,A,1e-07,30,20.0,11.331730859375,11.01617939453125,2.784671368917021,120000.0
DD_KOOP8,A,1e-07,30,25.0,12.992173307291667,12.679055989583333,2.4100457275504623,120000.0
DD_KOOP8,A,3e-07,1,0.0,4.933924934895833,4.9037101888020835,0.6123876324110983,120000.0
DD_KOOP8,A,3e-07,1,5.0,6.558561067708333,6.542287613932292,0.2481253678671291,120000.0
DD_KOOP8,A,3e-07,1,10.0,8.20777783203125,8.197736458333333,0.12233973559480874,120000.0
DD_KOOP8,A,3e-07,1,15.0,9.864999869791667,9.857876009114584,0.07221348982373393,120000.0
DD_KOOP8,A,3e-07,1,20.0,11.524778125,11.519078873697916,0.049452156390933054,120000.0
DD_KOOP8,A,3e-07,1,25.0,13.185366959635417,13.1802853515625,0.03853975462703035,120000.0
DD_KOOP8,A,3e-07,30,0.0,4.70180341796875,4.337669921875,7.744549563730188,120000.0
DD_KOOP8,A,3e-07,30,5.0,6.309497412109375,6.019831022135417,4.590958218288862,120000.0
DD_KOOP8,A,3e-07,30,10.0,7.952716341145833,7.7035873046875,3.132628221245453,120000.0
DD_KOOP8,A,3e-07,30,15.0,9.607964973958333,9.37866806640625,2.3865293865410107,120000.0
DD_KOOP8,A,3e-07,30,20.0,11.267110221354166,11.046202473958333,1.9606424633811952,120000.0
DD_KOOP8,A,3e-07,30,25.0,12.927498372395833,12.70909453125,1.6894517009740377,120000.0
DD_KOOP8,C,3e-08,1,0.0,5.0377496744791666,5.015665869140625,0.4383664684733484,120000.0
DD_KOOP8,C,3e-08,1,5.0,6.668219791666667,6.657223697916667,0.16490298900678302,120000.0
DD_KOOP8,C,3e-08,1,10.0,8.319403776041666,8.31350478515625,0.070906414019771,120000.0
DD_KOOP8,C,3e-08,1,15.0,9.977260807291668,9.973531510416667,0.03737796322088144,120000.0
DD_KOOP8,C,3e-08,1,20.0,11.6372416015625,11.634373372395833,0.02464698478273564,120000.0
DD_KOOP8,C,3e-08,1,25.0,13.297894140625,13.295461848958332,0.018290803347860346,120000.0
DD_KOOP8,C,3e-08,30,0.0,4.908590592447917,3.94403896484375,19.650276580168892,120000.0
DD_KOOP8,C,3e-08,30,5.0,6.532682161458333,5.5740767578125,14.673994233202336,120000.0
DD_KOOP8,C,3e-08,30,10.0,8.181739973958333,7.223696875,11.709527582246432,120000.0
DD_KOOP8,C,3e-08,30,15.0,9.8389134765625,8.882823307291666,9.717436498942263,120000.0
DD_KOOP8,C,3e-08,30,20.0,11.498676204427083,10.542432845052083,8.316116937068271,120000.0
DD_KOOP8,C,3e-08,30,25.0,13.159260123697917,12.2045337890625,7.2551672788661845,120000.0
DD_KOOP8,C,1e-07,1,0.0,5.019055859375,4.98292314453125,0.7199105938671527,120000.0
DD_KOOP8,C,1e-07,1,5.0,6.64866865234375,6.627413688151042,0.3196875239859636,120000.0
DD_KOOP8,C,1e-07,1,10.0,8.299568684895833,8.285254036458333,0.17247460658468564,120000.0
DD_KOOP8,C,1e-07,1,15.0,9.957334798177083,9.946045475260417,0.11337695423008452,120000.0
DD_KOOP8,C,1e-07,1,20.0,11.6172859375,11.60740703125,0.08503626667319417,120000.0
DD_KOOP8,C,1e-07,1,25.0,13.277929654947917,13.268623046875,0.07009080718731561,120000.0
DD_KOOP8,C,1e-07,30,0.0,4.932628938802083,4.07676728515625,17.351024459052137,120000.0
DD_KOOP8,C,1e-07,30,5.0,6.557829768880208,5.7537396484375,12.26152780388522,120000.0
DD_KOOP8,C,1e-07,30,10.0,8.207255794270834,7.435251139322917,9.406367661731995,120000.0
DD_KOOP8,C,1e-07,30,15.0,9.86454755859375,9.105753255208333,7.692134878749458,120000.0
DD_KOOP8,C,1e-07,30,20.0,11.524347395833333,10.77055458984375,6.540871947873765,120000.0
DD_KOOP8,C,1e-07,30,25.0,13.184943880208333,12.432566471354166,5.706337589980545,120000.0
DD_KOOP8,C,3e-07,1,0.0,5.012392545572917,4.976513802083334,0.7158007511058204,120000.0
DD_KOOP8,C,3e-07,1,5.0,6.641710953776042,6.622835367838542,0.2841976422772269,120000.0
DD_KOOP8,C,3e-07,1,10.0,8.292513671875,8.281302018229166,0.13520211228423243,120000.0
DD_KOOP8,C,3e-07,1,15.0,9.9502486328125,9.942814192708333,0.07471612397352723,120000.0
DD_KOOP8,C,3e-07,1,20.0,11.610190234375,11.60444130859375,0.04951620658402397,120000.0
DD_KOOP8,C,3e-07,1,25.0,13.270830729166667,13.265721256510417,0.03850152835586749,120000.0
DD_KOOP8,C,3e-07,30,0.0,4.923959505208333,4.093787923177083,16.859837721109066,120000.0
DD_KOOP8,C,3e-07,30,5.0,6.548779475911458,5.819892545572917,11.130118719367857,120000.0
DD_KOOP8,C,3e-07,30,10.0,8.198077213541668,7.51401171875,8.344218735360545,120000.0
DD_KOOP8,C,3e-07,30,15.0,9.855327994791667,9.1887384765625,6.763747676195504,120000.0
DD_KOOP8,C,3e-07,30,20.0,11.515114908854168,10.8518564453125,5.759894441276286,120000.0
DD_KOOP8,C,3e-07,30,25.0,13.175706966145833,12.514507096354167,5.018325555437583,120000.0
DD_KOOP8,D,3e-08,1,0.0,5.026294010416667,5.00892998046875,0.3454638728242106,120000.0
DD_KOOP8,D,3e-08,1,5.0,6.656254296875,6.648204899088542,0.12092984173150963,120000.0
DD_KOOP8,D,3e-08,1,10.0,8.3072701171875,8.303408919270833,0.046479744394948945,120000.0
DD_KOOP8,D,3e-08,1,15.0,9.965073470052083,9.962910807291667,0.0217024266495885,120000.0
DD_KOOP8,D,3e-08,1,20.0,11.6250365234375,11.623482552083333,0.013367453521830693,120000.0
DD_KOOP8,D,3e-08,1,25.0,13.285683658854166,13.284399544270833,0.009665400865369215,120000.0
DD_KOOP8,D,3e-08,30,0.0,4.998242171223958,4.886468033854166,2.236268942975618,120000.0
DD_KOOP8,D,3e-08,30,5.0,6.6267380533854165,6.550763525390625,1.1464845506603079,120000.0
DD_KOOP8,D,3e-08,30,10.0,8.27726396484375,8.214524967447916,0.7579678220038175,120000.0
DD_KOOP8,D,3e-08,30,15.0,9.934910286458333,9.875598795572916,0.5970007697629713,120000.0
DD_KOOP8,D,3e-08,30,20.0,11.594823014322916,11.537308333333334,0.49603759297175387,120000.0
DD_KOOP8,D,3e-08,30,25.0,13.25545419921875,13.198703092447916,0.428134003693204,120000.0
DD_KOOP8,D,1e-07,1,0.0,5.022149251302083,5.0026708984375,0.3878489445436752,120000.0
DD_KOOP8,D,1e-07,1,5.0,6.651923795572917,6.642508723958334,0.14153907807617067,120000.0
DD_KOOP8,D,1e-07,1,10.0,8.302877604166667,8.298104329427083,0.057489402676353045,120000.0
DD_KOOP8,D,1e-07,1,15.0,9.960661393229167,9.957819921875,0.028526934527640598,120000.0
DD_KOOP8,D,1e-07,1,20.0,11.62061796875,11.618509765625,0.018141919222113573,120000.0
DD_KOOP8,D,1e-07,1,25.0,13.281263118489584,13.2794408203125,0.013720819780663472,120000.0
DD_KOOP8,D,1e-07,30,0.0,4.9965298828125,4.89415302734375,2.048959135037206,120000.0
DD_KOOP8,D,1e-07,30,5.0,6.6250345703125,6.556779069010417,1.0302663416722904,120000.0
DD_KOOP8,D,1e-07,30,10.0,8.275565983072916,8.2210142578125,0.6591902641099955,120000.0
DD_KOOP8,D,1e-07,30,15.0,9.933213053385417,9.883661979166666,0.49884235798066745,120000.0
DD_KOOP8,D,1e-07,30,20.0,11.593127115885416,11.5456552734375,0.409482635473458,120000.0
DD_KOOP8,D,1e-07,30,25.0,13.2537583984375,13.207237565104167,0.35100106652628155,120000.0
DD_KOOP8,D,3e-07,1,0.0,5.025178548177084,5.001829296875,0.464645207692247,120000.0
DD_KOOP8,D,3e-07,1,5.0,6.655090006510417,6.6425666015625,0.1881778448625887,120000.0
DD_KOOP8,D,3e-07,1,10.0,8.306089095052084,8.2987291015625,0.08860961404769292,120000.0
DD_KOOP8,D,3e-07,1,15.0,9.96388671875,9.9587529296875,0.05152396055285207,120000.0
DD_KOOP8,D,3e-07,1,20.0,11.623848893229166,11.619478352864583,0.03759976927374617,120000.0
DD_KOOP8,D,3e-07,1,25.0,13.2844951171875,13.280310677083333,0.03149867621805979,120000.0
DD_KOOP8,D,3e-07,30,0.0,4.99809990234375,4.912785481770833,1.70693708088768,120000.0
DD_KOOP8,D,3e-07,30,5.0,6.626738981119792,6.572358072916667,0.8206284925068215,120000.0
DD_KOOP8,D,3e-07,30,10.0,8.277316178385417,8.235753776041667,0.5021241359884527,120000.0
DD_KOOP8,D,3e-07,30,15.0,9.934978580729167,9.89835390625,0.3686437185703461,120000.0
DD_KOOP8,D,3e-07,30,20.0,11.594896614583334,11.559869694010416,0.3020891150410346,120000.0
DD_KOOP8,D,3e-07,30,25.0,13.255529557291666,13.221702083333334,0.2551951908984628,120000.0
