slice,gridfix_3seed_mean,stock_3seed_mean,published_mean,paired_diff_gridfix_minus_stock,ci_low,ci_high,cells_gridfix_worse,sign_p,ratio_vs_stock,still_beats_published,GRIDFIX_S42_mean,GRIDFIX_S43_mean,GRIDFIX_S44_mean
regular 162,0.1401,0.1402,0.1246,-0.0001,-0.0011,0.001,15/27,0.701,0.9994,False,0.1415,0.1402,0.1386
B/E 432,0.2688,0.2716,0.2872,-0.0028,-0.0037,-0.002,10/72,2.69e-10,0.9898,True,0.268,0.2678,0.2705
