model,slice,n,ours,published,ratio
ours-LONGFULL-72,<=10 m/s,108,0.056288309814814814,0.08316290143518519,0.6768439874441409
ours-LONGFULL-72,10-30 m/s,216,0.27554517366898146,0.28892841196759256,0.9536797429942189
ours-LONGFULL-72,>30 m/s,108,0.5730025766203704,0.4876793894907407,1.1749575417134779
ours-LONGFULL-72,all,432,0.295095308443287,0.2871747787152778,1.0275808682205414
ours-LONGFULL-72,cm B,216,0.5422413735300926,0.5290508836111111,1.0249323653500926
ours-LONGFULL-72,cm E,216,0.04794924335648148,0.045298673819444434,1.0585131818119429
ours-LONGFULL-72,ds 50 ns,144,0.36005607079861107,0.3125606963541666,1.1519556841229546
ours-LONGFULL-72,ds 200 ns,144,0.2721786432291667,0.266004796875,1.0232095301539539
ours-LONGFULL-72,ds 400 ns,144,0.2530512113020833,0.2829588429166667,0.8943039513934139
